,Age,Attrition,DistanceFromHome
253,42,No,17
506,37,No,3
462,34,No,21
933,28,No,1
145,30,No,5
1099,45,No,1
783,41,No,7
123,51,No,6
773,36,No,12
191,27,No,9
1431,32,No,1
290,49,No,10
1163,37,No,10
1018,36,No,4
927,36,No,2
192,35,Yes,23
1455,40,No,2
1169,27,No,8
1156,40,No,15
1020,47,No,1
57,35,No,23
800,28,Yes,1
609,43,No,14
655,33,No,3
473,49,No,18
3,33,No,3
451,42,No,24
1070,28,No,7
1449,32,No,2
1213,23,Yes,7
806,52,No,7
360,57,No,1
950,31,No,2
502,53,No,1
1225,45,No,28
912,26,No,4
490,38,No,1
331,27,No,1
861,46,No,2
953,44,Yes,3
578,38,No,2
1133,43,No,27
260,32,No,7
775,43,No,25
588,50,No,2
78,37,No,7
1138,50,No,20
1140,44,No,7
832,37,No,25
937,39,No,13
1108,35,No,1
338,30,No,5
1203,53,No,24
213,51,No,8
217,29,Yes,1
105,59,No,2
30,33,No,2
1075,32,No,10
1118,26,No,3
1216,43,No,2
664,36,No,14
1008,54,No,1
1467,27,No,4
380,24,No,10
1179,34,No,3
711,29,Yes,10
987,51,No,2
941,30,No,6
826,38,No,1
979,34,No,29
501,30,No,3
101,32,No,1
601,40,No,16
351,32,No,2
591,33,Yes,16
118,36,No,3
1207,55,No,22
1434,52,No,29
735,48,No,6
994,52,No,28
1026,32,No,7
1014,31,No,8
437,30,No,7
621,36,No,1
1101,32,No,5
1248,27,No,8
1442,29,Yes,1
1445,41,No,28
544,47,No,3
1290,34,Yes,9
969,48,No,4
917,34,No,2
386,37,No,14
1106,30,Yes,1
642,38,No,9
107,25,Yes,5
961,35,No,4
776,20,Yes,9
39,33,No,1
882,36,No,1
