,Unnamed: 0,Age,DistanceFromHome,Attrition
49,937,39,13,No
34,1225,45,28,No
7,123,51,6,No
95,107,25,5,Yes
27,1070,28,7,No
19,1020,47,1,No
81,1014,31,8,No
25,3,33,3,No
62,1467,27,4,No
13,1018,36,4,No
24,473,49,18,No
3,933,28,1,No
17,1169,27,8,No
38,861,46,2,No
8,773,36,12,No
78,735,48,6,No
6,783,41,7,No
64,1179,34,3,No
36,490,38,1,No
89,1290,34,9,Yes
56,30,33,2,No
99,882,36,1,No
54,217,29,1,Yes
43,775,43,25,No
50,1108,35,1,No
67,941,30,6,No
46,1138,50,20,No
68,826,38,1,No
61,1008,54,1,No
97,776,20,9,Yes
79,994,52,28,No
41,1133,43,27,No
58,1118,26,3,No
48,832,37,25,No
98,39,33,1,No
57,1075,32,10,No
75,118,36,3,No
32,950,31,2,No
94,642,38,9,No
59,1216,43,2,No
63,380,24,10,No
84,1101,32,5,No
37,331,27,1,No
29,1213,23,7,Yes
1,506,37,3,No
52,1203,53,24,No
21,800,28,1,Yes
2,462,34,21,No
23,655,33,3,No
87,1445,41,28,No
91,917,34,2,No
74,591,33,16,Yes
86,1442,29,1,Yes
82,437,30,7,No
20,57,35,23,No
60,664,36,14,No
71,101,32,1,No
14,927,36,2,No
92,386,37,14,No
51,338,30,5,No
