,Age,Attrition,DistanceFromHome
0,46,No,2
1,38,No,7
2,26,No,29
3,38,No,14
4,56,No,4
5,47,No,4
6,29,No,21
7,49,No,7
8,55,No,2
9,35,No,21
10,36,No,3
11,45,No,2
12,44,No,2
13,33,No,4
14,21,No,5
15,50,No,24
16,21,No,1
17,34,No,19
18,41,No,9
19,57,No,1
20,36,No,6
21,51,No,14
22,33,Yes,2
23,29,No,28
24,35,No,1
25,33,No,4
26,23,No,1
27,40,No,1
28,34,No,5
29,32,No,2
30,28,Yes,12
31,24,No,21
32,27,No,3
33,24,Yes,7
34,55,No,2
35,28,No,4
36,60,No,1
37,47,Yes,9
38,40,No,20
39,33,No,1
40,34,Yes,6
41,45,No,2
42,35,No,25
43,45,No,28
44,34,No,10
45,37,No,1
46,59,No,1
47,39,No,1
48,35,Yes,15
49,45,No,1
50,37,No,2
51,46,Yes,9
52,34,No,10
53,33,Yes,15
54,26,No,3
55,45,No,1
56,34,No,1
57,45,No,25
58,42,No,1
59,54,No,17
60,31,Yes,26
61,26,Yes,8
62,50,No,4
63,41,No,28
64,49,No,4
65,35,No,11
66,45,No,29
67,36,No,3
68,29,No,20
69,49,No,18
70,30,No,9
71,39,No,2
72,33,Yes,3
73,53,No,2
74,33,No,10
75,42,No,13
76,35,No,1
77,41,No,6
78,47,No,14
79,20,No,9
80,44,No,24
81,38,No,25
82,20,Yes,4
83,43,Yes,17
84,46,No,1
85,30,No,2
86,28,No,1
87,41,No,8
88,27,No,5
89,19,Yes,10
90,41,Yes,20
91,36,No,8
92,39,No,2
93,39,No,4
94,28,No,21
95,35,No,6
96,43,No,2
97,30,No,29
98,51,No,2
99,43,No,12
