,Unnamed: 0,Unnamed: 0.1,Age,DistanceFromHome,Attrition
0,24,750,47,13,Yes
1,72,789,23,5,Yes
2,29,313,23,7428,Yes
3,69,42,25,3,Yes
4,38,1111,47,5,Yes
5,12,89,22,34,Yes
6,55,956,47,15,Yes
7,72,1080,16,19,Yes
8,4,1371,31,8,Yes
9,90,448,36,6,Yes
10,36,92,45,6,Yes
11,75,1209,43,44,Yes
12,2,1276,18,6,Yes
13,64,25,49,8,Yes
14,15,103,35,37,Yes
15,98,790,28,13,Yes
16,44,181,44,35,Yes
17,13,189,74,4,Yes
18,4,1453,31,2,Yes
19,10,1303,43,120,Yes
20,64,1418,39,5,Yes
21,19,119,28,4,Yes
22,33,1271,20,7,Yes
23,11,39,39,70,Yes
24,66,733,51,7,Yes
25,60,375,41,14,Yes
26,23,709,20,6,Yes
27,9,35,50,5,Yes
28,49,157,25,31935,Yes
29,8,1427,37,8,Yes
30,62,147,28,16,Yes
31,70,1465,28,3,Yes
32,88,555,43,364,Yes
33,7,892,56,6,Yes
34,9,130,31,208,Yes
35,74,611,25,5,Yes
36,97,1367,31,5,Yes
37,36,1048,44,15,Yes
38,48,910,35,29,Yes
39,83,250,35,5,Yes
40,31,459,23,28,Yes
41,72,1381,34,4,Yes
42,54,189,33,71,Yes
43,48,919,25,15,Yes
