,Unnamed: 0,Unnamed: 0.1,Age,DistanceFromHome,Attrition
0,43,1406,26,13,No
1,4,760,50,7,No
2,89,733,29,103,No
3,94,189,38,4,No
4,98,435,41,4,No
5,3,1228,23,9,No
6,71,21,40,25,No
7,6,1405,37,7,No
8,83,740,40,9,No
9,72,1280,28,10,No
10,36,395,61,4,No
11,89,1307,26,5,No
12,18,1373,41,1,No
13,42,643,29,1,No
14,34,598,60,62,No
15,81,296,33,13,No
16,77,1395,35,17,No
17,69,1084,24,10,No
18,7,434,36,6,No
19,95,863,36,4,No
20,40,374,22,6,No
21,91,1387,34,10,No
22,99,845,27,128,No
23,98,1298,47,11,No
24,21,96,39,4,No
25,5,738,30,13,Yes
26,98,780,43,149,No
27,44,177,35,7,No
28,94,86,50,1,No
29,15,1458,32,4,No
30,43,629,34,1,No
31,41,297,60,3,No
32,25,566,30,2,No
33,51,199,30,10,No
34,26,1331,37,3,No
35,36,869,25,2,No
36,88,59,23,20,No
37,12,797,29,9,No
38,38,127,37,79,No
39,82,141,37,64,No
