,Unnamed: 0,Unnamed: 0.1,Age,DistanceFromHome,Attrition
0,37,1191,36,2,No
1,43,1083,33,5,No
2,-4,1168,37,2,No
3,8,1215,37,3,No
4,10,1021,28,3,No
5,19,1169,36,0,No
6,72,453,64,5,No
7,12,1605,37,3,No
8,49,638,37,2,No
9,50,833,31,2,No
10,79,-464,36,27,No
11,23,1100,33,7,No
12,39,1042,27,1,No
13,19,1104,32,18,No
14,47,1200,30,1,No
15,101,574,50,10,No
16,21,1121,30,8,No
17,25,948,46,6,No
18,10,1169,34,10,No
19,41,966,32,7,No
20,25,1038,29,7,No
21,12,1430,38,5,No
22,43,178,37,0,No
23,18,1117,28,5,No
24,22,1157,32,3,No
25,36,1153,30,6,No
26,8,1333,31,6,No
27,53,411,40,0,No
28,24,1035,26,8,No
29,15,1184,21,1,No
30,75,1342,30,8,No
31,26,991,29,13,No
32,38,880,32,5,No
33,45,1205,26,18,No
34,44,1394,38,5,No
35,18,595,29,0,No
36,48,1101,39,1,No
37,43,1017,26,3,No
38,20,1092,42,1,No
39,57,757,24,14,No
40,31,1397,38,6,No
41,53,1286,30,7,No
42,30,1088,28,1,No
43,22,1229,36,5,No
44,24,1305,38,5,No
45,78,864,33,4,No
46,14,719,27,4,No
47,41,1071,33,5,No
48,31,-184,40,3,No
49,17,1204,31,8,No
50,42,36,28,0,No
51,26,1190,36,9,No
52,19,1155,31,7,No
53,50,1079,36,4,No
54,54,1193,33,6,No
55,57,840,27,3,No
56,38,1093,35,9,No
57,38,1124,32,3,No
58,1,929,30,5,No
59,72,1098,35,2,No
